libav:  avdec_bmp: libav BMP (Windows and OS/2 bitmap) decoder
libav:  avdec_bmv_audio: libav Discworld II BMV audio decoder
libav:  avdec_bmv_video: libav Discworld II BMV video decoder
libav:  avdec_brender_pix: libav BRender PIX image decoder
libav:  avdec_c93: libav Interplay C93 decoder
libav:  avdec_camstudio: libav CamStudio decoder
libav:  avdec_camtasia: libav TechSmith Screen Capture Codec decoder
libav:  avdec_cavs: libav Chinese AVS (Audio Video Standard) (AVS1-P2, JiZhun profile) decoder
libav:  avdec_cdtoons: libav CDToons video decoder
libav:  avdec_cdxl: libav Commodore CDXL video decoder
libav:  avdec_cfhd: libav GoPro CineForm HD decoder
libav:  avdec_cinepak: libav Cinepak decoder
libav:  avdec_clearvideo: libav Iterated Systems ClearVideo decoder
libav:  avdec_cljr: libav Cirrus Logic AccuPak decoder
libav:  avdec_cllc: libav Canopus Lossless Codec decoder
libav:  avdec_comfortnoise: libav RFC 3389 comfort noise generator decoder
libav:  avdec_cook: libav Cook / Cooker / Gecko (RealAudio G2) decoder
libav:  avdec_cpia: libav CPiA video format decoder
libav:  avdec_cri: libav Cintel RAW decoder
libav:  avdec_cyuv: libav Creative YUV (CYUV) decoder
libav:  avdec_dca: libav DCA (DTS Coherent Acoustics) decoder
libav:  avdec_dds: libav DirectDraw Surface image decoder decoder
libav:  avdec_derf_dpcm: libav DPCM Xilam DERF decoder
libav:  avdec_dfa: libav Chronomaster DFA decoder
libav:  avdec_dirac: libav BBC Dirac VC-2 decoder
libav:  avdec_dnxhd: libav VC3/DNxHD decoder
libav:  avdec_dolby_e: libav Dolby E decoder
libav:  avdec_dpx: libav DPX (Digital Picture Exchange) image decoder
libav:  avdec_dsd_lsbf: libav DSD (Direct Stream Digital), least significant bit first decoder
libav:  avdec_dsd_lsbf_planar: libav DSD (Direct Stream Digital), least significant bit first, planar decoder
libav:  avdec_dsd_msbf: libav DSD (Direct Stream Digital), most significant bit first decoder
libav:  avdec_dsd_msbf_planar: libav DSD (Direct Stream Digital), most significant bit first, planar decoder
libav:  avdec_dsicinaudio: libav Delphine Software International CIN audio decoder
libav:  avdec_dsicinvideo: libav Delphine Software International CIN video decoder
libav:  avdec_dss_sp: libav Digital Speech Standard - Standard Play mode (DSS SP) decoder
libav:  avdec_dst: libav DST (Digital Stream Transfer) decoder
libav:  avdec_dvaudio: libav Ulead DV Audio decoder
libav:  avdec_dvvideo: libav DV (Digital Video) decoder
libav:  avdec_dxa: libav Feeble Files/ScummVM DXA decoder
libav:  avdec_dxtory: libav Dxtory decoder
libav:  avdec_dxv: libav Resolume DXV decoder
libav:  avdec_eac3: libav ATSC A/52B (AC-3, E-AC-3) decoder
libav:  avdec_eacmv: libav Electronic Arts CMV video decoder
libav:  avdec_eamad: libav Electronic Arts Madcow Video decoder
libav:  avdec_eatgq: libav Electronic Arts TGQ video decoder
libav:  avdec_eatgv: libav Electronic Arts TGV video decoder
libav:  avdec_eatqi: libav Electronic Arts TQI Video decoder
libav:  avdec_escape124: libav Escape 124 decoder
libav:  avdec_escape130: libav Escape 130 decoder
libav:  avdec_evrc: libav EVRC (Enhanced Variable Rate Codec) decoder
libav:  avdec_exr: libav OpenEXR image decoder
libav:  avdec_fastaudio: libav MobiClip FastAudio decoder
libav:  avdec_ffv1: libav FFmpeg video codec #1 decoder
libav:  avdec_ffvhuff: libav Huffyuv FFmpeg variant decoder
libav:  avdec_fic: libav Mirillis FIC decoder
libav:  avdec_fits: libav Flexible Image Transport System decoder
libav:  avdec_flac: libav FLAC (Free Lossless Audio Codec) decoder
libav:  avdec_flashsv: libav Flash Screen Video v1 decoder
libav:  avdec_flashsv2: libav Flash Screen Video v2 decoder
libav:  avdec_flic: libav Autodesk Animator Flic video decoder
libav:  avdec_flv: libav FLV / Sorenson Spark / Sorenson H.263 (Flash Video) decoder
libav:  avdec_fmvc: libav FM Screen Capture Codec decoder
libav:  avdec_fraps: libav Fraps decoder
